trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2115,False,"{'a': 0.002, 'e': 0.014581524453706954}",25,10,13.756419378255085,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2116,False,"{'a': 0.002, 'e': 0.014552390548416123}",30,3,52.87599631296752,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2117,False,"{'a': 0.002, 'e': 0.0145233148527069}",20,5,27.212802721859514,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2118,False,"{'a': 0.002, 'e': 0.014494297250276454}",20,5,13.666375718630663,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2119,False,"{'a': 0.002, 'e': 0.014465337625054335}",20,8,21.281430934751363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2120,False,"{'a': 0.002, 'e': 0.014436435861201989}",25,1,42.51063826487441,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2121,False,"{'a': 0.002, 'e': 0.01440759184311235}",20,8,22.74360823712039,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2122,False,"{'a': 0.002, 'e': 0.014378805455409293}",20,16,7.414904515155971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2123,False,"{'a': 0.002, 'e': 0.01435007658294723}",20,7,23.351822011422723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2124,False,"{'a': 0.002, 'e': 0.01432140511081062}",20,12,-24.82138451825577,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2125,False,"{'a': 0.002, 'e': 0.014292790924313561}",20,7,23.764544285876156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2126,False,"{'a': 0.002, 'e': 0.014264233908999256}",20,16,9.465638577830939,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2127,False,"{'a': 0.002, 'e': 0.014235733950639606}",30,10,42.09186688822766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2128,False,"{'a': 0.002, 'e': 0.014207290935234726}",25,16,17.76499354236866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2129,False,"{'a': 0.002, 'e': 0.014178904749012544}",30,20,19.355873892152097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2130,False,"{'a': 0.002, 'e': 0.014150575278428262}",20,12,15.839824211689713,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2131,False,"{'a': 0.002, 'e': 0.014122302410163962}",20,9,16.100906797255057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
